title,url,view,extra,eps
Thánh Nữ Thần Khỉ Đột Gia Nhập Kỵ Sĩ Đoàn,https://animevietsub.show/phim/gorilla-no-kami-kara-kago-sareta-reijou-wa-ouritsu-kishidan-de-kawaigarareru-a5575/,"Lượt xem: 531,129",8.8,HOÀNTẤT
Ta Là Quân Chủ Tà Ác Của Quốc Gia Ở Giữa Muôn Vì Sao!,https://animevietsub.show/phim/ore-wa-seikan-kokka-no-akutoku-ryoushu-a5582/,"Lượt xem: 1,318,432",8.6,HOÀNTẤT
"Diệt Slime Suốt 300 Năm, Tôi Level Max Lúc Nào Chẳng Hay Mùa 2",https://animevietsub.show/phim/slime-taoshite-300-nen-shiranai-uchi-ni-level-max-ni-nattemashita-sono-ni-a5590/,"Lượt xem: 401,358",9.7,HOÀNTẤT
"Haite Kudasai, Takamine-san",https://animevietsub.show/phim/haite-kudasai-takamine-san-a5606/,"Lượt xem: 1,046,475",5.9,HOÀNTẤT
Tình Bạn Trai Gái Liệu Có Bền Lâu?,https://animevietsub.show/phim/danjo-no-yuujou-wa-seiritsu-suru-iya-shinai-a5589/,"Lượt xem: 2,516,069",8.3,HOÀNTẤT
Cuộc Sống Mới Trong Bóng Tối Của Trị Liệu Sư Thiên Tài,https://animevietsub.show/phim/isshun-de-chiryou-shiteita-noni-yakutatazu-to-tsuihou-sareta-tensai-chiyushi-yami-healer-toshite-tanoshiku-ikiru-a5584/,"Lượt xem: 2,083,768",8.1,HOÀNTẤT
Ballpark de Tsukamaete!,https://animevietsub.show/phim/ballpark-de-tsukamaete-a5603/,"Lượt xem: 231,814",8.9,HOÀNTẤT
Kiratto Pri☆chan Season 3,https://animevietsub.show/phim/kiratto-prichan-season-3-a5484/,"Lượt xem: 67,112",5.6,HOÀNTẤT
Lycoris Recoil: Friends Are Thieves of Time.,https://animevietsub.show/phim/lycoris-recoil-friends-are-thieves-of-time-a5631/,"Lượt xem: 288,878",9.8,
Kono Subarashii Sekai ni Shukufuku wo! 3: Bonus Stage,https://animevietsub.show/phim/kono-subarashii-sekai-ni-shukufuku-wo!-3-bonus-stage-a5361/,"Lượt xem: 321,189",9.6,
No Home,https://animevietsub.show/phim/no-home-a5633/,"Lượt xem: 33,125",7.4,HOÀNTẤT
Võ Nghịch 3D,https://animevietsub.show/phim/vo-nghich-3d-a5500/,"Lượt xem: 106,603",6.7,HOÀNTẤT
